epoch,train_loss,val_loss,train_rmse_raw,val_rmse_raw,train_rmse_clamped,val_rmse_clamped,train_mae_raw,val_mae_raw,train_mae_clamped,val_mae_clamped,train_mse_raw,val_mse_raw,train_nse_raw,val_nse_raw,val_csi_gamma_0_001_raw,val_csi_gamma_0_001_clamped,val_csi_gamma_0_01_raw,val_csi_gamma_0_01_clamped,val_path_iou_gamma_0_001_raw,val_path_iou_gamma_0_001_clamped,val_path_iou_gamma_0_01_raw,val_path_iou_gamma_0_01_clamped,train_pred_min,val_pred_min,train_pred_max,val_pred_max,train_pred_mean,val_pred_mean,train_negative_prediction_ratio,val_negative_prediction_ratio,train_target_mean,val_target_mean,learning_rate,epoch_time_sec
21,0.02310418544410138,0.11469990387558937,0.03269365807586006,0.07284499338795311,0.03267489729940949,0.07203775945074488,0.009962952024070434,0.02728843494047929,0.009906273462500942,0.02686805265080335,0.0010688752783812499,0.005306393061690933,0.9804567338853549,0.9869892004266609,0.70674460156631,0.70674460156631,0.7531360679950271,0.7531360679950271,0.011060078551634324,0.011060078551634324,0.024128407168315564,0.024128407168315564,-0.23367547988891602,-2.48677134513855,12.134714126586914,22.176944732666016,0.07780563831329346,0.3094059228897095,0.013675065711140633,0.03197912871837616,0.08172957599163055,0.32888263463974,0.0001,2288.600107682003
22,0.023136612952098918,0.17571801558304367,0.03271659345064628,0.09016257916461912,0.03269781942829364,0.08959490696585962,0.009986395078011101,0.039586955530200856,0.009929715306274508,0.039161463036821366,0.001070375487014871,0.008129290681616209,0.9804293041394304,0.9800677087991259,0.7021398728935018,0.7021398728935018,0.7105697102553933,0.7105697102553933,0.010946906956081859,0.010946906956081859,0.01957673037000837,0.01957673037000837,-0.010571286082267761,-2.088742256164551,1.6057345867156982,24.028728485107422,0.007264887448400259,0.32745161652565,0.0009688803111203015,0.028486644849181175,0.009265291504561901,0.32888263463974,0.0001,2318.6031436420017
23,0.022954593044230875,0.12475281953811646,0.032587645473249216,0.075970216635936,0.032567540082441136,0.07567174593149906,0.009969952253952372,0.03502560486483007,0.009909666774989535,0.03471216715963853,0.0010619546374901802,0.005771473815711048,0.9805832705714975,0.9858488641557468,0.705458739150731,0.705458739150731,0.7150146360571595,0.7150146360571595,0.011150268569267091,0.011150268569267091,0.02006198629941269,0.02006198629941269,-0.5060673356056213,-1.4567292928695679,16.642391204833984,23.16765785217285,0.12034828215837479,0.32237836718559265,0.025388920679688454,0.027667157351970673,0.1276737004518509,0.32888263463974,0.0001,2713.1031458180005
24,0.02284396206775933,0.1350404445207521,0.032509021717897234,0.0790405786138016,0.03248946678442654,0.07846196895201636,0.009912315556475341,0.03301680897873411,0.009854735621863543,0.03251406842860292,0.001056836493054714,0.00624741306760455,0.9806768504733728,0.984681903822526,0.7088786762563187,0.7088786762563187,0.7402463499669469,0.7402463499669469,0.011120906319116901,0.011120906319116901,0.022580337418142783,0.022580337418142783,-0.20476868748664856,-1.7550519704818726,11.786752700805664,23.51808738708496,0.05510391294956207,0.31888625025749207,0.027381399646401405,0.03745671361684799,0.05434076860547066,0.32888263463974,0.0001,2379.8021118949982
25,0.0229169233324861,0.09303882236728507,0.03256089544180184,0.06560701581998053,0.03254085255586625,0.06528470896648311,0.009951062782056486,0.02530084655080971,0.00989155596689698,0.02498378233275549,0.0010602119119719519,0.004304280524803176,0.9806151344837456,0.9894462904340909,0.7243332476073291,0.7243332476073291,0.779456617716769,0.779456617716769,0.011839910935043767,0.011839910935043767,0.027647778383594775,0.027647778383594775,-0.09990603476762772,-1.6900700330734253,10.85887622833252,22.52169418334961,0.04736407473683357,0.3036871552467346,0.04843880608677864,0.03741719573736191,0.0551128052175045,0.32888263463974,0.0001,2279.377395800002
26,0.022614365253013472,0.11861194515328728,0.03234524055579154,0.07407683085053836,0.032324482002366296,0.07366813138820615,0.009886632980292296,0.029094969198245724,0.009826534085180697,0.028725826526289876,0.0010462145866120222,0.0054873768688592705,0.9808710609464402,0.9865454443735922,0.7262509003572689,0.7262509003572689,0.7483342122877737,0.7483342122877737,0.012094034099363502,0.012094034099363502,0.023533009986377657,0.023533009986377657,-0.2680608332157135,-1.5189621448516846,12.977362632751465,22.572019577026367,0.06331299245357513,0.31563064455986023,0.0337531678378582,0.03525317460298538,0.07065385580062866,0.32888263463974,0.0001,2349.8349714470096
27,0.02253415507330294,0.1856584714286113,0.03228782753166923,0.09267776799184366,0.03226649190429327,0.09203293328378026,0.009843166414586966,0.043571363138614816,0.009784159379366858,0.04315119693143139,0.0010425038067148175,0.00858916867995,0.9809389086382937,0.9789401292182415,0.7013993578922054,0.7013993578922054,0.6937451710878298,0.6937451710878298,0.010999209835341464,0.010999209835341464,0.018109547405222883,0.018109547405222883,-0.17757299542427063,-1.8710049390792847,11.495993614196777,22.292861938476562,0.09346415847539902,0.33274394273757935,0.0973522812128067,0.02465715818107128,0.09168776124715805,0.32888263463974,0.0001,2343.4240482010064
28,0.022442178133530537,0.1666828982866882,0.03222186599819257,0.08781398835026957,0.03220124567451634,0.08739101650842104,0.009801211556965034,0.03827454051900095,0.0097431693820236,0.03786744703099879,0.0010382486484054785,0.007711296549981281,0.9810167097847557,0.9810925928976666,0.7025845704090258,0.7025845704090258,0.7050765197331657,0.7050765197331657,0.010979296730854566,0.010979296730854566,0.019095553991078287,0.019095553991078287,-0.5686455368995667,-1.3812386989593506,16.43875503540039,23.985897064208984,0.11223337054252625,0.3285788297653198,0.016216043382883072,0.026706093922257423,0.11755099892616272,0.32888263463974,0.0001,2291.378475022997
29,0.02259831432292765,0.2001488484191091,0.0323337597106015,0.09622650874250611,0.032313150673266545,0.09561919922007613,0.009890059403746349,0.03985500418005573,0.009835731882877995,0.03939057139713191,0.0010454720170229165,0.009259540984771606,0.9808846380723024,0.9772964364883305,0.7063644026465229,0.7063644026465229,0.7129608621510245,0.7129608621510245,0.011127815766422465,0.011127815766422465,0.01983364554168768,0.01983364554168768,-0.22354960441589355,-1.5474214553833008,12.082219123840332,24.209869384765625,0.0896715298295021,0.33148273825645447,0.02712126635015011,0.02840803936123848,0.09211226552724838,0.32888263463974,0.0001,2232.265340514001
30,0.022261048122227386,0.15332158495870868,0.03209157181962845,0.08422089092672824,0.03206916930500956,0.08393725242359615,0.00977296982587962,0.03845967620168357,0.00971312563899866,0.03818280408966873,0.0010298689818543708,0.007093158468491856,0.9811699231902584,0.9826082119996455,0.7112820869744005,0.7112820869744005,0.7091905950265377,0.7091905950265377,0.011483309351948042,0.011483309351948042,0.019465066791110798,0.019465066791110798,-0.22504925727844238,-1.0707203149795532,11.734721183776855,22.535572052001953,0.09758278727531433,0.32670050859451294,0.06901893764734268,0.022167425602674484,0.0954652801156044,0.32888263463974,0.0001,2256.2978691190074
31,0.022086085134805283,0.10373329940471757,0.03196520955555519,0.06927511831159343,0.03194255434016263,0.06905509412162583,0.009719091942945006,0.02934195447973554,0.009660835382936448,0.028979370001489778,0.0010217746219305568,0.004799042017085268,0.9813179200654599,0.9882331796566098,0.7262824966704183,0.7262824966704183,0.7539319520199623,0.7539319520199623,0.012001318231576203,0.012001318231576203,0.024232202986276125,0.024232202986276125,-0.1327749788761139,-1.415852665901184,11.746988296508789,21.952667236328125,0.05376683920621872,0.31920352578163147,0.024876469746232033,0.03618123009800911,0.05299524590373039,0.32888263463974,0.0001,2258.0252342999884
32,0.022004935279015703,0.18128798914591918,0.03190643145838404,0.09158043423616236,0.031883489381525985,0.09119615816056358,0.009692761551900785,0.0458845750451974,0.00963420789578674,0.04543485296928129,0.0010180203684085588,0.008386975934884059,0.9813865627374162,0.9794358876836722,0.7064298710610074,0.7064298710610074,0.6989208831251581,0.6989208831251581,0.011169954106183872,0.011169954106183872,0.01845585493989071,0.01845585493989071,-0.10329469293355942,-1.8543717861175537,11.172900199890137,24.014455795288086,0.0740806832909584,0.33773690462112427,0.11181122064590454,0.027549466118216515,0.0826948955655098,0.32888263463974,0.0001,2256.9920616539894
33,0.022059876742506025,0.1144789093163576,0.03194623814816773,0.07277478360009178,0.03192316285680597,0.07244230291766092,0.009707487790023403,0.0292831031315376,0.0096521788377904,0.028889797618353967,0.0010205621318194473,0.005296169128040187,0.9813400892238604,0.9870142685944416,0.706406718519304,0.706406718519304,0.7427135899555409,0.7427135899555409,0.010963486748386984,0.010963486748386984,0.02290131609340712,0.02290131609340712,-0.3546065390110016,-1.8115534782409668,9.218666076660156,24.174039840698242,0.04066087678074837,0.3218463361263275,0.013013656251132488,0.0265219584107399,0.03832659870386124,0.32888263463974,0.0001,2260.021628795992
34,0.021892908241716212,0.10387417841493414,0.031825110082310426,0.06932214307710612,0.031801289499231736,0.06877901207118965,0.009678542547205769,0.023899357824508152,0.009624374898467467,0.02350536761964234,0.0010128376317511767,0.004805559520802772,0.9814813237020866,0.9882171993223976,0.7333271087080492,0.7333271087080492,0.792040534276941,0.792040534276941,0.012167570773056342,0.012167570773056342,0.029694722741298182,0.029694722741298182,-0.0037698894739151,-1.9516754150390625,1.5489695072174072,24.21626853942871,0.008322098292410374,0.3085423409938812,9.554176358506083e-05,0.0316191129386425,0.0032451904844492674,0.32888263463974,0.0001,2257.8957306189986
35,0.021809888507069098,0.11583979335728656,0.031764710828532834,0.07320606548322427,0.03174039876210851,0.07298675302937448,0.009621004158603936,0.027212876287998577,0.00956614512969927,0.026931257032420112,0.0010089968540203111,0.005359128023534119,0.9815515482043674,0.9868598990328379,0.7030681360109461,0.7030681360109461,0.7539375674557942,0.7539375674557942,0.01077888442868849,0.01077888442868849,0.02412474384846121,0.02412474384846121,-0.24020743370056152,-1.7676210403442383,11.859344482421875,22.173837661743164,0.0964413732290268,0.3141895830631256,0.08214332908391953,0.020576221868395805,0.10097815096378326,0.32888263463974,0.0001,2248.8597724110004
36,0.021757025943052493,0.14571725928716445,0.03172619202451983,0.0821057699129013,0.03170200719640597,0.08171700138480117,0.00964840363464622,0.036467821324050756,0.009596628761770825,0.036166235218925945,0.001006551260376706,0.006741357452990288,0.9815962633154669,0.9834707965178248,0.7062133848994914,0.7062133848994914,0.7144625375153099,0.7144625375153099,0.011122637148361151,0.011122637148361151,0.02001987861723406,0.02001987861723406,-0.36225318908691406,-1.2047258615493774,13.930325508117676,25.72051239013672,0.13072387874126434,0.32747846841812134,0.014921017922461033,0.01963035762310028,0.13422822952270508,0.32888263463974,0.0001,2255.3901660419942
37,0.021867551492987237,0.1548117170675417,0.03180667453007835,0.08462917192953757,0.031783027536274135,0.08425396753938984,0.00966240677281272,0.03172971308311496,0.009612668277845043,0.03138218930585456,0.0010116645446623348,0.00716209674147923,0.9815027722575282,0.9824391815410377,0.7203493293145993,0.7203493293145993,0.7450500111479236,0.7450500111479236,0.011697231900789069,0.011697231900789069,0.02303826590394123,0.02303826590394123,-0.3498767018318176,-0.7931922078132629,13.771137237548828,24.572919845581055,0.12551410496234894,0.3190028667449951,0.026302212849259377,0.022179150953888893,0.12411769479513168,0.32888263463974,0.0001,2266.0099908720003
